Name,Personal Traits,image
Ashok Kumar,"Kumudlal Ganguly (13 October 1911 – 10 December 2001), better known by his stage name Ashok Kumar and also fondly called Dadamoni, was an Indian film actor who attained iconic status in Indian cinema and who was a member of the cinematic Ganguly family. He was honoured in 1988 with the Dadasaheb Phalke Award, the highest national award for cinema artists, by the Government of India and also received the Padma Bhushan in 1999 for his contributions to Indian cinema. He is considered to be one of India's finest actors ever, playing leading, antagonist and character roles with equal panache.Ashok Kumar was born Kumudlal Ganguly to a Bengali Hindu family in Bhagalpur, Bengal Presidency, British India (present-day Bihar, India).[1] His father, Kunjlal Ganguly, was a lawyer while his mother, Gouri Devi, was a home-maker. Kumudlal was the eldest of four children. His only sister, Sati Devi, a few years younger to him, was married at a very young age to Sashadhar Mukherjee and became the matriarch of a large ""film family"". Next was his brother, Kalyan, more than 14 years younger (b.1926), who later took the screen name Anoop Kumar. Youngest of all was Abhas (b.1929), whose screen name was Kishore Kumar, who became a phenomenally successful playback singer of Hindi films. Although the eldest by several years, Kumudlal outlived all his siblings. In fact, he stopped celebrating his birthday after his youngest brother, Kishore, died on that very day in 1987.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Portrait_Ashok_Kumar_Actor.jpg/220px-Portrait_Ashok_Kumar_Actor.jpg
Asrani,"Govardhan Asrani (born 1 January 1941)  popularly known simply as Asrani, is an Indian actor and director whose Bollywood career has spanned five decades. He has acted in over 350 Hindi films. Asrani has played the lead hero, character roles, comedic roles and supporting roles.In Hindi films, he played the comedian's role from 1966 to 2013 and played a supporting actor's role as the close friend of the lead hero in many films between 1972 and 1994. In a few Hindi films like Chala Murari Hero Banne and Salaam Memsaab, he played the main lead hero. In Gujarati films he played the lead hero from 1972 to 1984 and played character roles from 1985 to 2012. He also directed six films between 1974 and 1997.Asrani was born in Sindh, now Pakistan, then part of British India, into a middle-class, Sindhi Hindu family. His family migrated to 152 Sindhi colony in Bani Park in Jaipur, Rajasthan, after the Partition of India, and his father opened a carpet shop. He has four sisters and three brothers: two elder and one younger. Asrani was highly uninterested in business and very weak in mathematics. He completed his matriculation from St. Xaviers School and did his graduation from Rajasthan College, Jaipur. He simultaneously worked as a voice artist at All India Radio, Jaipur, to pay for his education.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Asrani_at_the_launch_of_%27Its_Only_Cinema%27_magazine_11.jpg/220px-Asrani_at_the_launch_of_%27Its_Only_Cinema%27_magazine_11.jpg
Ashok Saraf,"Ashok Saraf (born 4 June 1947) is an Indian film and stage actor[1] and comedian.[2] He has appeared in many Marathi language films and stage plays in lead roles and in Hindi language films and TV serials in supporting roles. He received five Filmfare Awards, Maharashtra government award for the film Pandu Havaldar, Screen Award for Sawai Havaldar, Bhojpuri Film Award for Maika Bitua, ten state government awards for Marathi films and Best Comedian in Maharashtracha Favorite Kon.From the early 1980s, Saraf started getting cast as the leading hero in Marathi films. The combination of Ashok Saraf,  Laxmikant Berde, Sachin Pilgaonkar and Mahesh Kothare created the ""comedy films wave"" in Marathi cinema from 1985 that lasted for more than a decade. His successful Marathi films as the lead hero include Ek Daav Bhutacha, Dhoom Dhadaka, Gammat Jammat, Ashi hi Banava Banavi and Vazir. Saraf has also starred in television serials like Yeh Choti Badi Baatein and Hum Paanch (as Anand Mathur).In Bollywood, he is best remembered for the comic ""Munshiji"" in Rakesh Roshan's 1995 action thriller Karan Arjun, in Yes Boss as Shahrukh Khan's friend and as Ajay Devgn's colleague  in Singham as head constable. In the Marathi film industry, he is popularly known as ""Mama"" (maternal uncle).[3][4]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Ashok_Saraf.jpg/220px-Ashok_Saraf.jpg
Atul Agnihotri,"Atul Agnihotri (born 24th June 1970) is an Indian film actor, producer and director.[2][dead link] He started his Bollywood career as an actor, went on to direct two films, and found success as a film producer. He is best known for his debut film Sir (1993), which was the most notable film of his career and featured him as the lead protagonist. His other notable films were Aatish: Feel the Fire (1994) and Krantiveer (1994).Agnihotri was born into a Punjabi Brahmin family,[1] the son of Rohit Agnihotri, an actor of yesteryear who quit films after a brief stint and later tried his hand at business.[1] Agnihotri lost his father at a young age and the responsibility of supporting his family came upon him.[1] Agnihotri's first cousin is actress Rati Agnihotri, who lived with them in Mumbai for two years and made her entry into films during that time; essentially, this inspired Atul to join films likewise.[1]Agnihotri is married to producer/designer Alvira Khan Agnihotri. She is the daughter of scriptwriter Salim Khan and sister of actors Salman Khan, Arbaaz Khan and Sohail Khan.[3] They have two children - a son Ayaan and a daughter Alizeh.[4]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Atul-agnihotri.jpg/220px-Atul-agnihotri.jpg
Atul Kulkarni,"Atul Kulkarni (born 10 September 1965) is an Indian film actor who has acted in multi -language cinemas.Kulkarni won the National Award for the best supporting actor for the films Hey Ram and Chandni Bar. He is also the president of Quest, a research-action organization concentrating on enhancing quality of education.Kulkarni was born on 10 September 1965 in Belgaum (present-day Belagavi), Karnataka, India. He completed his secondary education from Haribhai Deokaran High School, Solapur, Maharashtra. He completed his Junior College from Belgaum and completed his graduation in English literature at D. A. V. College, Solapur. Kulkarni received his diploma in acting from National school of Drama in 1995.[2] He is married to theater actress Geetanjali Kulkarni, whom he met at National School of Drama.Kulkarni's first stint with stage was during his high school days. He participated in the Maharashtra State Drama Competition regularly. Between 1989 and 1992, he won awards for Acting and also for Drama-Direction.[3] Atul enacted in Gandhi Viruddh Gandhi, the play made later famous by Dilip Prabhavalkar in Marathi professional theatre circuit until mid-90s.[4] Later during his college days he actively participated in cultural gatherings. While studying, Atul joined Natya Aradhana, an amateur theatre group from Solapur. Atul Kulkarni holds a postgraduate diploma in dramatic arts from National School of Drama, New Delhi.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Atul_Kulkarni_graces_the_screening_of_Sonata.jpg/220px-Atul_Kulkarni_graces_the_screening_of_Sonata.jpg
Avinash Tiwary,"Avinash Tiwary (born 15 August 1985) is an Indian actor who works in Hindi films. He rose to prominence in 2018 with the leading role in the romantic movie Laila Majnu by Sajid Ali and Imitiaz Ali.[1]In order to pursue acting he joined Barry John's Acting Studio and later went to New York Film Academy. He started appearing in short films in 2005.[2]Avinash Tiwary was born on 15 August 1985 in Gopalganj, Bihar, India. His family relocated to Mumbai after few years.[3]He completed school and engineering in Mumbai. In order to pursue acting, he quit engineering studies in the fourth semester and joined theater. He joined Barry John's acting studio and later went to New York Film Academy.In theater, he worked with Om Katare, an established artist. After his stint at the New York Film Academy, he started his career with the documentary, Anamika: Her Glorious Past, in 2006. In 2014, he worked alongside Amitabh Bachchan in the TV series Yudh, where he played the role of the villain, Ajat Shatru.[4]",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Avinash_Tiwary_Photo.jpg/220px-Avinash_Tiwary_Photo.jpg
Ayushman Khurana,"Ayushmann Khurrana (born Nishant Khurrana on 14 September 1984) is an Indian actor, singer, and television host. Known for his portrayals of ordinary men,[2][3] he is the recipient of several awards, including a National Film Award and four Filmfare Awards, and has appeared in Forbes India's Celebrity 100 list of 2013 and 2019.Khurrana won the second season of  reality television show MTV Roadies in 2004 and ventured into an anchoring career. He made his film debut in 2012 with the romantic comedy Vicky Donor, in which his performance as a sperm donor earned him the Filmfare Award for Best Male Debut.[4][5] Following a brief setback, he starred in the commercially and critically successful romance Dum Laga Ke Haisha (2015). Khurrana went on to establish himself with the comedies Bareilly Ki Barfi (2017), Shubh Mangal Saavdhan (2017), Badhaai Ho (2018), Dream Girl (2019), and Bala (2019); the thriller Andhadhun (2018); and the crime drama Article 15 (2019).[6] Khurrana's performances as a blind pianist in Andhadhun and an honest cop in Article 15 won him two consecutive Filmfare Critics Award for Best Actor, and he also won the National Film Award for Best Actor for the former.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Ayushmann_Khurrana_promoting_Andhadhun.jpg/220px-Ayushmann_Khurrana_promoting_Andhadhun.jpg
Anupam Sharma,"Anupam Sharma[1] is an Australian film director, actor, film producer, and author of Indian origin. Sharma[2] has been widely acknowledged by Australian and Indian media as a producer who pioneered films links between India and Australia since 1997. Sharma[3] was appointed as an Australia Day Ambassador[4] and named one of the fifty most influential professionals in the Australian film industry (Encore Magazine). He is best known for producing Bollywood films filmed in Australia, including Dil Chahta Hai and Heyy Babyy. He is the director of the Australian feature film unIndian,[5] starring Australian cricketer Brett Lee, released in 2015. In 2014 the film was announced by Australian Prime Minister Tony Abbott. As a director apart from unINDIAN he has also directed Indian Aussies (Terms & Conditions Apply), NSW Tourism Ad Campaign, Intellectual Property Awareness Foundation anti-piracy campaign and award-winning Australian feature documentary The Run.[6]Anupam Sharma was born in Ajmer, in the Indian state of Rajasthan. He attended high school at St. Joseph Academy in Dehradun, after which he moved to Australia to pursue a bachelor's degree in film. He followed his bachelor's degree with a master's degree in Films & Theatre from the University of New South Wales, where he wrote his thesis on Indian Cinema with Distinction.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Geoffrey_Brown%2C_Mr._Jim_Mc_Elroy%2C_Mr._John_Winter_and_Mr._Anupam_Sharma_addressing_the_Press_Conference%2C_during_the_39th_International_Film_Festival_%28IFFI-2008%29%2C_in_Panaji%2C_Goa_on_November_25%2C_2008.jpg/800px-thumbnail.jpg
B. R. Panthulu,"Budaguru Ramakrishnaiah Panthulu (26 July 1910 — 8 October 1974)[1] was an Indian film director, producer and actor. He is best known for directing films in Kannada, Tamil,Telugu and Hindi. His most popular films are Sri Krishnadevaraya, School Master, Kittur Channamma, Karnan and Veerapandiya Kattabomman. B. R. Panthulu, is a successful actor and converted Ma. Po. Si.'s biographic works Veerapandiya Kattabomman (a movie about a local chieftain who fought with the British in the 18th century in Tamil Nadu) and Kappalottiya Thamizhan (a movie about a disciple Of Bal Gangathar Thilak, a leading lawyer, first leader in South India, called as Thilak of South India) who rebelled against the British rule that forbade Tamils operating shipping companies) to celluloid.Panthulu was born on 26 July 1910 in the village of Budaguru of Kolar district in the erstwhile Kingdom of Mysore(in present-day Kolar district of Karnataka).[2] He began his career as a teacher. Influenced by professional theatre during the time, he joined the troupe Chandrakala Nataka Mandali. He acted in plays Samsara Nouka, Sadarame and Guleba Kavali. He also worked for some time with Gubbi Veeranna's troupe and acted in Sri Krishna Garudi among others. Panthulu then formed his own professional theatre troupe, the Kalaseva Nataka Mandali, staging plays of his own choice.[2]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/BRBandulu.jpg/220px-BRBandulu.jpg
Babu Antony,"Babu Antony is an Indian film actor and mixed martial artist, who works primarily in Malayalam cinema. He has also acted in Tamil, Telugu, Kannada, Sinhalese, Hindi and English films. He has mostly done action roles. Babu owns mixed martial art academy in Houston.[1]He made his debut in Bharathan's Chilampu (1986). He started his career doing antagonist roles, but has also played the lead role in other films. He made a mark in Malayalam cinema through Fazil's 1986 thriller Poovinu Puthiya Poonthennal. The film was remade into Tamil, Telugu, Kannada and Hindi and Babu Antony reprised his role in all the five versions. His career highlights include Vaishali (1988), Aparahnam (1991) and Uppukandam Brothers (1993). According to reports, Babu is all set for his directorial debut in Piano.[2]He was born to T.J. Antony and Mariyam Antony and is the 5th of seven children, in Ponkunnam, Kottayam, Kerala, India. He has six siblings, Leela, Joseph, Thampy Antony(Actor), Marykutti, Saly and Mini. He received his primary education from Sacred Heart High School, Ponkunnam, Government Boys High School and St. Dominic's High School Kanjirappally. He was an athlete while at school and was good at the triple jump, long jump, high jump, pole vault, 4 × 200 meter relay and volleyball, represented Kerala state. He was the captain of Pune university Volleyball and athletic teams. He finished his masters in Human resources management from Symbiosis institute of International business management school, Pune.  He also does paintings.[3] He graduated in English Literature from Pune. He has a master's degree in Business Administration in Human resources from Symbiosis Institute of Business Management, Pune. He worked as a cinematographer in Film and Television Institute of India, Pune which led to his entry into the film industry.[4]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Babu_Antony_in_Karinkunnam_6s_movie.jpg/220px-Babu_Antony_in_Karinkunnam_6s_movie.jpg
Balakrishna,"Bala Krishna (Sanskrit: बाल-कृष्ण bālakṛṣṇa, literally ""child Krishna"") sometimes translated to ""Divine Child Krishna"",[1][2] or Bal Gopal  is historically one of the early forms of worship in Krishnaism and an element of the history of Krishna worship in antiquity. This tradition is considered as a part of the number of other traditions that led to amalgamation in a later stage of the historical development and culminate in worship of Radha Krishna as Svayam bhagavan. Other monotheist traditions are Bhagavatism and Cult of Gopala, that along with Cult of Krishna-Vasudeva form the basis of the current tradition of the monotheistic Krishna religion.[1] The worship of Balakrishna, the divine child, while a significant feature of the Krishna religion, often receives less attention,[3] however it is one of the most popular deities of Krishna in many parts of India today.[1] Early evidence of such worship can be found or as early as the 4th century BC according to evidence in Megasthenes and in the Arthashastra of Kautilya, when Vāsudeva (as the son of Vasudeva was worshiped as supreme Deity in a strongly monotheistic format, where the supreme Being was perfect, eternal and full of grace.[4]",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Indian_-_Cosmic_Narayana_%28Vishnu%29_as_Infant_Krishna_-_Walters_543081.jpg/210px-Indian_-_Cosmic_Narayana_%28Vishnu%29_as_Infant_Krishna_-_Walters_543081.jpg
Balakrishna Nandamuri,"Nandamuri Balakrishna is an Indian politician and film actor known for his works in Telugu cinema.[1][2] He is the sixth son of Telugu film actor and former Chief Minister of Andhra Pradesh N. T. Rama Rao. He entered the film industry as a child artist at the age of fourteen with the film Tatamma Kala (1974)[3][4] and has acted in more than a hundred feature films in varied roles.[citation needed]Balakrishna has achieved commercial success since the 1980s in films such as Sahasame Jeevitham (1984), Janani Janmabhoomi (1984), Mangammagari Manavadu (1984), Apoorva Sahodarudu (1986), Muvva Gopaludu (1987), Muddula Mavayya (1989), Nari Nari Naduma Murari (1990), Lorry Driver (1990), Rowdy Inspector (1992), Bangaru Bullodu (1993), Bhairava Dweepam (1994), Peddannayya (1997), and Samarasimha Reddy (1997), some of which earned him accolades.[5]He has also acted in biographical, historical and hagiographical films. He played poet Vemulawada Bheemakavi in Vemulawada Bheemakavi (1976); Abhimanyu in Daana Veera Soora Karna (1977); Jahangir in Akbar Salim Anarkali (1979); Narada in Sri Tirupati Venkateswara Kalyanam (1979); Sidda in Srimadvirat Veerabrahmendra Swami Charitra (1984) which was screened at the Moscow Film Festival; Krishnadevaraya in Aditya 369 (1991) which was screened at the International Film Festival of India; Satya Harischandra and Dushyanta in Brahmashri Vishwamitra (1991); Lord Krishna and Arjuna in Shri Krishnarjuna Vijayam (1996); Pundarika in Pandurangadu (2008); his father, N.T.R, in N.T.R: Mahanayakudu and N.T.R: Kathanayakudu (2019); and Lord Rama in Sri Rama Rajyam (2011) which received special mention at the International Film Festival of India.[5]",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Actor_Nandamuri_Balkrishna_presents_the_Golden_Peacock_award_to_Gurvinder_Singh_for_Anhey_Ghorhey_Da_Daan_%28cropped%29.jpg/220px-Actor_Nandamuri_Balkrishna_presents_the_Golden_Peacock_award_to_Gurvinder_Singh_for_Anhey_Ghorhey_Da_Daan_%28cropped%29.jpg
Balan K. Nair,"Balakrishnan Nair, more popularly known as Balan K. Nair (4 April 1933 – 26 August 2000) was an Indian actor known for his roles in Malayalam cinema. Although he appeared as a villain in most films, he was also noted for his performances in strong character roles. He won the National Film Award for Best Actor in 1981 for his performance as Govindan in the film Oppol.[1]Balakrishnan (Balan K.) Nair was born as eldest among four to Idakkulam Kizhakke Veettil Kuttiraman Nair, a store owner, and Devaki Amma, a housewife in 1933 in a village called Chemancheri near Quilandy.[2] He has two brothers and a sister. His parents died when he was young and hence he had to take care of his siblings and discontinue his studies at eighth grade. Prior to his entry in films, he worked as a mechanic in Kozhikode and owned a metal workshop. He started his acting career at the age of 14.[3] At that time he was associated with Sangamam Theatre in Kozhikode, Muppathunkavu troupe, Kozhikodan drama troupes and his own drama troupe Subash Theaters. After his marriage to Sharadha, he moved to Shoranur in Palakkad. His son Meghanathan is also a Malayalam film actor.",https://upload.wikimedia.org/wikipedia/en/1/12/Balan_k_nair1.jpg
Balraj Sahni,"Balraj Sahni (1 May 1913 – 13 April 1973), born Yudhishthir Sahni, was an Indian film and stage actor, who is best known for Dharti Ke Lal (1946), Do Bigha Zameen (1953), Chhoti Bahen (1959), Kabuliwala (1961) and Garam Hawa (1973).He came from Rawalpindi, now in Punjab, Pakistan and was the brother of Bhisham Sahni, noted Hindi writer, playwright, and actor.[1]Sahni was born on 1 May 1913 in Rawalpindi, Punjab, British India.[2] He studied at Government College University (Lahore), Punjab, British India. After completing his master's degree in English Literature from Lahore, he went back to Rawalpindi and joined his family business. He also held a Bachelor's degree in Hindi.[3] Soon after, he married Damayanti Sahni.In the late 1930s, Sahni and his wife left Rawalpindi to join Tagore's Visva-Bharati University in Shantiniketan in Bengal as an English and Hindi teacher. It is here that their son, Parikshit Sahni was born, when his wife Damayanti was earning her bachelor's degree.[4] He also collaborated with Mahatma Gandhi for a year in 1938. The next year, Sahni, with Gandhi's blessings, went to England to join the BBC-London's Hindi service as a radio announcer. He returned to India in 1943.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Balraj_Sahni_in_Lajwanti.jpg/220px-Balraj_Sahni_in_Lajwanti.jpg
Bank Janardhan,"Janardhan, known by his stage name Bank Janardhan, was born in 1948 and is an Indian actor in the Kannada film industry.[1][2][3][4] He is well-known for his comedy and drama roles in various Kannada films and television series. Some of the notable films of Janardhan as an actor include News (2005), Shhh! (1993) and Tharle Nan Maga (1992). He acted in kannada television serials such as Paapa Pandu.Janardhan has acted in more than 750 movies. Before his film career, he worked in Vijaya Bank in Holalkere. Janardhan is usually a comedy actor playing supporting roles. He is known for playing a stingy father in Tharle Nan Maga. His performances with actors like Jaggesh, Doddanna and Tennis Krishna were well liked.",https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Bank-Janardhan.jpg/200px-Bank-Janardhan.jpg
Barun Sobti,"Barun Sobti (born 21 August 1984) is an Indian actor. He started his acting career in 2009 with Star Plus's Shraddha and later appeared in a negative role in Dill Mill Gayye. He portrayed his first lead role in Sony TV's series Baat Hamari Pakki Hai (2010). In 2011, Sobti played Arnav Singh Raizada in Iss Pyaar Ko Kya Naam Doon?.Sobti made his film debut with the romantic comedy Main Aur Mr. Riight (2014) and later worked on the film Tu Hai Mera Sunday (2017). He also starred in the Hotstar Originals web series Tanhaiyan (2017) and ALTBalaji's The Great Indian Dysfunctional Family (2018). Sobti also starred in short films Dry Dreams (2015) and the Voot originals Derma (2019) and Asur (2020).Sobti was born in Delhi into a Punjabi family. He attended St. Mark's School in Paschim Vihar, New Delhi and completed his graduation from University of Delhi.[2] He worked as an operations manager at Jindal Telecom for 7 years before entering the entertainment industry.[2] He met his wife Pashmeen Manchanda the first time in his school and they were classmates. After a long distance relationship, he married his childhood sweetheart in a private ceremony on 12 December 2010 in a Gurudwara.[3][4] In 2019, they were blessed with a baby girl and they named her Sifat.[5]",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Barun_Sobti.jpg/220px-Barun_Sobti.jpg
Benjamin Gilani,"Benjamin Gilani is an Indian actor of film, television and theatre.[1] He portrayed Jawaharlal Nehru in the 1993 film Sardar. He also acted in the movie ""Hum Dum"".Gilani was schooled at Bishop Cotton School, Shimla.[2] He is a postgraduate from Delhi University[2] having studied and taught English Literature at St. Stephen's College, Delhi and studied at Film and Television Institute of India (FTII) Pune class of 1972, where Naseeruddin Shah and Tom Alter were his classmates.[3]He founded 'Motleys Productions', a Mumbai-based theatre company in 1977, along with Tom Alter and Naseeruddin Shah, and Waiting For Godot was their first play on 29 July 1979 at Prithvi Theatre, the play was revived in 2009 for group's 30th anniversary celebrations.[4][5] He is currently hosting a quiz show on Disney Channel India, namely Disney Q Family Mastermind.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Waiting_for_Godot_in_Doon_School.jpg/300px-Waiting_for_Godot_in_Doon_School.jpg
Bhagwan Dada,"Bhagwan Dada (Marathi,1 August 1913 – 4 February 2002), also credited as Bhagwan, was an Indian actor and film director who worked in Hindi cinema. He is best known for his social film Albela (1951) and the song ""Shola Jo Bhadke"".Bhagwan Dada was born in 1913 as Bhagwan Abhaji Palav in Amravati, Maharashtra. He was the son of a textile-mill worker who worked in Mumbai textile mills and was obsessed with films. He worked as a labour, but dreamt of films. He got his break with bit roles in silent films and got totally involved with the studios. He learned film-making and at one stage used to make low-budget films (in which he arranged for everything including the design of costumes and arranging meals for the cast) for Rs. 65,000.Bhagwan Abhaji Palav, popularly known as Bhagwan dada, mainly due to his love for wrestling, made his debut in the silent era with the film Criminal.[1]He co-directed his first film Bahadur Kisan with Pawar in 1938. From 1938 to 1949 he directed a string of low-budget stunt and action films that were popular with the working classes. He usually played a naive simpleton. One of the notable films that he made during this period was the Tamil film Vana Mohini (1941) that starred M. K. Radha and Sri Lankan actress Thavamani Devi.[2]",https://upload.wikimedia.org/wikipedia/commons/b/b3/BhagwaanDada_1949.jpg
Bharat Bhushan,"Bharat Bhushan (14 June 1920 – 27 January 1992) was an Indian actor in Hindi language films, scriptwriter and producer, who is best remembered for playing Baiju Bawra in the 1952 film of the same name.[1] He was born in Meerut, and brought up in Aligarh, Uttar Pradesh.His father, Raibahadur Motilal, was the government pleader of Meerut. His mother died when he was two years old. His elder brother was film producer Ramesh Chandra,[2] who owned the Ideal Studio at Lucknow. The brothers left for Aligarh to stay with their grandfather after their mother's death. He did his studies and earned a graduate degree from Dharam Samaj College, Aligarh. After this he took to acting against his father's wishes. He first went to Calcutta to join cinema and later established himself in Bombay.He married into a prominent family in Meerut, Zamindar Raibahadur Budha Prakash's daughter Sarla. They had two daughters, Anuradha and Aparajitha. Anuradha had polio-associated complications. His other daughter Apararith played the role of 'Mandodari' in the famous TV show Ramanand Sagar's famous serial 'Ramayan'. In an interview, Aparajita had said that after the sudden demise of her husband, she turned to acting. Aparajita has done more than 50 films in her career.  Bhushan's wife Sarla died of labour complications after delivering their second child in the early 1960s, soon after the film Barsaat Ki Raat. In 1967, he married actress Ratna, his co-star in the movie Barsaat Ki Raat.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Actor_Bharat_Bhushan.jpg/220px-Actor_Bharat_Bhushan.jpg
Bharat Jadhav,"Bharat Jadhav is an actor and producer in Marathi movies, theatre and TV shows in India. He is known more for his comic roles as a leading man in commercial Marathi cinema and theatre.[1]Bharat Jadhav became famous while acting with Ankush Chaudhari and Sanjay Narvekar in the Marathi stage play ""All The Best"", which completed 3000 shows.[2] He later acted in the hit Marathi play Sahi re Sahi.[3] His performance in the song Kombadi Palali in the movie Jatra was lauded by fans.[4]Jadav launched Bharat Jadhav Entertainment Pvt Ltd in 2013.[5] The launch function was attended by Raj Thackeray, Nikhil Wagle, Sachin Pilgaonkar, Mahesh Manjrekar, Siddarth Jadhav, Makarand Anaspure, Jaywant Wadkar, Prachi Cheulkar, Kiran Shantaram, and Anjan Shrivastav.[6]As per his website,[dead link] he has acted in more than 85 movies, 8 serials and been involved in more than 8500 drama shows.[citation needed] He is considered as a close friend of producer and director Kedar Shinde.[7][8]Jadhav began his acting career in 1985, when he joined Maharashtrachi Lokdhara dance troupe, under the guidance of Shahir Sable. He is known for his roles in All the Best, Sahi Re Sahi and Shrimanta Damodar Panta.[citation needed]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Bharat_Jadhav.jpg/220px-Bharat_Jadhav.jpg
Bharath Gopi,"Gopynathan Velayudhan Nair (2 November 1937 – 29 January 2008), popularly known by the stage name Bharat Gopy, was an Indian film actor, producer and director. He was one of the first actors to be associated with the New Wave cinema movement in Kerala during the 1970s.[1]Bharat Gopy has won many awards, including the National Film Award for Best Actor for his role as Sankarankutty in Kodiyettam (1977),[2] and hence he got the name Bharath. His well-known roles include Aiyappan in Yavanika, Vasu Menon in Palangal, Prof. ""Shakespeare"" Krishna Pillai in Kattathe Kilikoodu, Dushasana Kurup in Panchavadi Palam, Nandagopal in Ormakkayi, Mammachan in Adaminte Vaariyellu, Shankaran in Chidambaram, and Krishnan Raju in Aghaat.As a filmmaker he is known for Ulsavapittennu (1989) and Yamanam (1991). He produced the 1993 film Padheyam directed by Bharathan. In 1991 the Government of India honoured him with the Padma Shri for his contributions towards the arts.[3] In 1994, he authored the book Abhinayam Anubhavam, which won the National Film Award for Best Book on Cinema.",https://upload.wikimedia.org/wikipedia/en/2/27/Bharath_Gopi.jpg
Bharathiraja,"Bharathiraja (born 23 August 1942) is an Indian film director who works mainly in the Tamil film industry. Making his debut in 1977 with 16 Vayathinile, he is known for realistic and sensitive portrayals of rural life in his films. As of 2017, he has won six National Film Awards, four Filmfare Awards South, two Tamil Nadu State Film Awards and a Nandi Award. He has also directed films in Telugu and Hindi. The Government of India honoured him with the Padma Shri award, India's fourth-highest civilian honour, in 2004 for his contribution to the film industry.Bharathiraja started his film career as an assistant to Kannada filmmaker Puttanna Kanagal.[3] Later, he assisted P. Pullaiah, M. Krishnan Nair,[4] Avinasi Mani and A. Jagannathan. His first film 16 Vayathinile, for which he wrote the script, broke the then existing convention to create a new genre of village cinema. The film is now regarded as a milestone in the history of Tamil Cinema. About the film, Bharathiraja said: ""This movie was meant to be a black & white art film produced with the help of National Film Development Corporation"", but turned out to be a commercially successful colour film and a starting point for several important careers.[5] His next film Kizhake Pogum Rail produced similar results and eventually brought in criticisms that Bharathiraja was capable of catering only to village audiences. This led him to make Sigappu Rojakkal, about a psychopathic woman-hater that was totally westernized in terms of both conception and production.[6]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Director_Bharathiraja_at_Salim_Movie_Audio_Launch.jpg/220px-Director_Bharathiraja_at_Salim_Movie_Audio_Launch.jpg
Bank Janardhan,"Janardhan, known by his stage name Bank Janardhan, was born in 1948 and is an Indian actor in the Kannada film industry.[1][2][3][4] He is well-known for his comedy and drama roles in various Kannada films and television series. Some of the notable films of Janardhan as an actor include News (2005), Shhh! (1993) and Tharle Nan Maga (1992). He acted in kannada television serials such as Paapa Pandu.Janardhan has acted in more than 750 movies. Before his film career, he worked in Vijaya Bank in Holalkere. Janardhan is usually a comedy actor playing supporting roles. He is known for playing a stingy father in Tharle Nan Maga. His performances with actors like Jaggesh, Doddanna and Tennis Krishna were well liked.",https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Bank-Janardhan.jpg/200px-Bank-Janardhan.jpg
Bijon Bhattacharya,"Bijon Bhattacharya (Bengali: বিজন ভট্টাচার্য) (17 July 1915 – 19 January 1978) was a prominent Indian theatre and film Personalityfrom Bengal.[1]Bhattacharya was born in 1915 at Faridpur (now in Bangladesh) to a Hindu, Bengali Brahmin family, and was an early witness to the destitution and penury of the peasantry of that land. He became a member of the Indian People’s Theatre Association (IPTA), a left-leaning group of artists who aimed at reflecting the suffering of the poor in their work to effect an improvement for them.One of Bijon's most celebrated plays, Nabanna (Harvest), based on the Bengal famine of 1943, was an IPTA production, and an inspiration of the film Dharti Ke Lal, which he co-wrote with film's director Khwaja Ahmad Abbas, another IPTA member. He died on 19 January 1978.Bijon Bhattacharya married the Jnanpith Award-winning Bengali writer, Mahasweta Devi. Their only son Nabarun Bhattacharya, a Bengali writer, was born in 1948.",https://upload.wikimedia.org/wikipedia/commons/d/d1/Bijon_bhattacharya.jpg
